date,e2,v1,proportion,proportion_se,proportion_deff,n,unw_prop
2021-02-13,Village or rural area,Yes,0.09866328575166161,0.021731112362336248,2.596766389801673,48,0.023233301064859633
2021-02-13,Village or rural area,No,0.9013367142483385,0.021731112362336248,2.596766389801673,442,0.21393998063891578
2021-02-14,City,Yes,0.08177725471510108,0.013461103051750311,2.4348582574443522,81,0.04411764705882353
2021-02-14,City,No,0.918222745284899,0.013461103051750311,2.4348582574443522,929,0.5059912854030502
2021-02-14,Town,Yes,0.0829168750893133,0.02145528433669245,2.3246104343290726,38,0.020697167755991286
2021-02-14,Town,No,0.9170831249106867,0.021455284336692453,2.3246104343290726,347,0.18899782135076254
2021-02-14,Village or rural area,Yes,0.116962293321423,0.025964104247877293,2.871949226165345,47,0.02559912854030501
2021-02-14,Village or rural area,No,0.8830377066785771,0.025964104247877293,2.871949226165345,394,0.21459694989106753
2021-02-15,City,Yes,0.060367007553542774,0.011047721712918289,2.27008385860048,83,0.04382259767687434
2021-02-15,City,No,0.9396329924464571,0.01104772171291829,2.27008385860048,973,0.513727560718057
2021-02-15,Town,Yes,0.10684162194994372,0.034753552627703854,5.20203425372329,40,0.021119324181626188
2021-02-15,Town,No,0.8931583780500563,0.034753552627703854,5.20203425372329,372,0.19640971488912354
2021-02-15,Village or rural area,Yes,0.08320859684559191,0.016175547946184816,1.4577082628305427,46,0.024287222808870117
2021-02-15,Village or rural area,No,0.9167914031544081,0.016175547946184816,1.4577082628305427,380,0.2006335797254488
2021-02-16,City,Yes,0.07867758692147053,0.013421991233450559,2.621958687120249,83,0.04414893617021277
2021-02-16,City,No,0.9213224130785294,0.013421991233450559,2.621958687120249,973,0.5175531914893617
2021-02-16,Town,Yes,0.12255861782988393,0.02871954950250545,3.0680004983660982,41,0.021808510638297873
2021-02-16,Town,No,0.8774413821701161,0.02871954950250545,3.0680004983660982,360,0.19148936170212766
2021-02-16,Village or rural area,Yes,0.1523361597747868,0.03816111029633977,4.759157347492754,36,0.019148936170212766
2021-02-16,Village or rural area,No,0.8476638402252131,0.03816111029633976,4.759157347492753,387,0.20585106382978724
2021-02-17,City,Yes,0.06939784939334283,0.013918008399215885,3.2064469828993265,89,0.04533876719307183
2021-02-17,City,No,0.9306021506066571,0.013918008399215883,3.206446982899326,981,0.499745287824758
2021-02-17,Town,Yes,0.06530508869409593,0.014403881372459945,1.4309561853510517,36,0.018339276617422313
2021-02-17,Town,No,0.934694911305904,0.014403881372459949,1.4309561853510522,386,0.19663779928680591
2021-02-17,Village or rural area,Yes,0.13039416351281147,0.03730201808374387,5.767455685777381,37,0.018848700967906265
2021-02-17,Village or rural area,No,0.8696058364871885,0.037302018083743865,5.767455685777381,434,0.22109016811003565
2021-02-18,City,Yes,0.08961185496678944,0.0182118325988335,4.1387103926260895,72,0.03925845147219193
2021-02-18,City,No,0.9103881450332106,0.018211832598833504,4.13871039262609,947,0.5163576881134133
